job_title,company_name,company_location,work_method,post_date,work_time
Business Intelligence Analyst (Qlik Sense),Fujitsu,Greater Madrid Metropolitan Area,Hybrid,2 weeks ago,Full-time · Associate
Analista de datos,TYPSA ESTADÍSTICA Y SERVICIOS (TEyS),"Madrid, Community of Madrid, Spain",Hybrid,1 week ago,Full-time · Associate
Power BI Developer,Redslim,"Madrid, Community of Madrid, Spain",Hybrid,2 weeks ago,Full-time · Mid-Senior level
Business Intelligence Consultant,Bosonit,Greater Madrid Metropolitan Area,Hybrid,1 week ago,Full-time · Mid-Senior level
Business Intelligence Analyst,Zolva Spain,Greater Madrid Metropolitan Area,Hybrid,23 hours ago,Full-time
Data Analyst,SHA Wellness Clinic,"L'Alfas del Pi, Valencian Community, Spain",Hybrid,3 weeks ago,Full-time · Mid-Senior level
Data Analyst,Mercats City,"Barcelona, Catalonia, Spain",On-site,1 week ago,Full-time · Mid-Senior level
Data Analyst,EDNON,"Galicia, Spain",Remote,1 day ago,Full-time · Associate
Data Analyst / Data Engineer,Inetum,Greater Madrid Metropolitan Area,Hybrid,1 day ago,Full-time · Associate
Associate - Data Research,Clarity AI,"Barcelona, Catalonia, Spain",Hybrid,6 days ago,Full-time · Entry level
Business Data Analyst,GoTrendier,Greater Barcelona Metropolitan Area,Hybrid,20 hours ago,Full-time
Data Analyst,VMLY&R,Greater Madrid Metropolitan Area,Hybrid,2 weeks ago,Full-time · Mid-Senior level
Data Analyst,Peroptyx,Spain,Remote,6 days ago,Part-time
Analista cuantitativo,Grupo Análisis e Investigación,"Madrid, Community of Madrid, Spain",Hybrid,1 day ago,Full-time
Analista de datos,ÁlamoConsulting,"Madrid, Community of Madrid, Spain",Hybrid,1 week ago,Full-time · Mid-Senior level
BI Analyst - Tableau or other BI Tools,TransPerfect,"Madrid, Community of Madrid, Spain",On-site,17 hours ago,Full-time · Entry level
Analista de datos,SOTEC CONSULTING,"Madrid, Community of Madrid, Spain",Hybrid,1 week ago,Full-time
Data Analyst,Akuaro,"Barcelona, Catalonia, Spain",Hybrid,2 weeks ago,Full-time · Associate
Analista de Datos SQL,NTT DATA,Greater Madrid Metropolitan Area,Hybrid,2 weeks ago,Full-time · Associate
Analista de datos,Inycom,"Zaragoza, Aragon, Spain",Hybrid,1 week ago,Full-time · Mid-Senior level
Data Analyst,SDG Group España,"Madrid, Community of Madrid, Spain",Hybrid,1 week ago,Full-time · Entry level
Analista de datos,TINSA,"Madrid, Community of Madrid, Spain",Hybrid,1 week ago,Full-time · Entry level
Data Analyst,SETESCA,"Barcelona, Catalonia, Spain",Hybrid,2 weeks ago,Full-time · Mid-Senior level
Data Analyst (Alteryx+PowerBI),MERLIN Properties,"Madrid, Community of Madrid, Spain",On-site,3 days ago,Full-time · Mid-Senior level
Data Analyst,Popcarte,"Barcelona, Catalonia, Spain",Hybrid,2 weeks ago,Full-time · Associate
Data Analyst / Business Intelligence,Page Personnel,"Madrid, Community of Madrid, Spain",On-site,1 day ago,Full-time · Mid-Senior level
Analista BI,Lopesan,"San Bartolomé de Tirajana, Canary Islands, Spain",On-site,2 days ago,Full-time · Mid-Senior level
Data Analyst,Vidrala,"Laudio / Llodio, Basque Country, Spain",On-site,1 month ago,Full-time · Associate
