job_link,position,company name,job description,skills_missing,workplace_type,skills,insights
https://www.linkedin.com/jobs/view/3584640506/?eBP=CwEAAAGH00khESr3syLUXMvcQj2ES4MqBPat3vC6NxB5eqfkEzvQeXfe-kHqFOXolRwgtn6VfvEaEyNSWcpu8xzltaG_CDuAbvhh0d0c1mmgvCOY2cU1CBAjr_9n4WkawtQ1x9Co-h_t7DRsuSngTcnouQD_HCjLXNUTjTqOC6BA5jeEdlvpXFrq9istBQNuFAIXtoPQIuihC0ojiC4OS2fBJsv5VAyKW726pIyfhMEiQ6-bS0A2jSUE1L7cJ6aC2iqcUSg_j4NmacSLT4q4su8Byn11xykwmPKmzeOMxfPoSUSldRTEb0TZ78AM2naRZ1LmxnuwpwR_5BsxvrBRrVNn4JfnkbLC5BZ9WyZAMkmNI-E5hqUl-yDBSCKdCrkLEJw5Gbh43U5NxAMQLywwqPB-_W07FD7pTx0&recommendedFlavor=ACTIVELY_HIRING_COMPANY&refId=IJQz4RLxqnkj4CzU73fscA%3D%3D&trackingId=L%2FF2DZsC14626ykXkgs4Vg%3D%3D&trk=flagship3_search_srp_jobs,Junior Marketing Analyst,Norma,"About the job
Norma Doors, el mayor fabricante de puertas a nivel nacional, ubicado en San Leonardo de Yagüe (Soria), busca incorporar a un analista junior de marketing.
Inicialmente, esta persona formará parte del equipo de marketing actual y trabajará de forma conjunta con el departamento comercial. Una vez formada, el objetivo es que lidere el departamento de marketing reportando directamente a dirección comercial.
Responsabilidades que deberá ir adoptando:
Definir las campañas offline y online (con medios propios y externos), coordinar su ejecución y analizar su rendimiento.
Responsable de marketing online, posicionamiento y gestión de redes sociales
Posicionamiento y actualización página web (Wordpress).
Crear presentaciones comerciales, material de ventas (folletos, brochures, argumentarios, etc.) para apoyar al equipo comercial.
Garantizar que los materiales de marketing creativo se sometan a revisiones periódicas y se adhieran a las directrices de la marca.
A nivel internacional definir y ejecutar el marketing plan en función del mercado objetivo.
Imagen corporativa - definir y aplicar la política de marketing
Branding - Generar branded content
Comunicación interna: apoyar y desarrollar la estrategia de comunicación interna
Comunicación institucional y relaciones con partners, medios, asociaciones y patrocinios

Perfil que buscamos:
Formación en: marketing/ publicidad/ periodismo o similar.
Al menos 1 año de experiencia en un departamento de marketing (preferiblemente en el sector de la industria o B2B)
Nivel alto de inglés. Se valorarán otros idiomas especialmente el francés
Conocimiento de Redes sociales, WordPress, SEO, Mailchimp y programas de edición de vídeos. Habilidad en redacción de contenidos.
Perfil con visión estratégica y analítica. Clara vocación comercial y orientación al cliente.
Capacidad de ""autoorganizarse"" y ""autoaprender""

Ofrecemos:
- Contrato laboral indefinido, jornada completa
- Posibilidad de trabajar en un modelo híbrido (60% oficinas – 40% teletrabajo).
- Formar parte de en una empresa consolidada y líder en su sector, con elevado ritmo de crecimiento.
- Proyección de carrera y desarrollo profesional dentro de la empresa.
Otras consideraciones:
- Buscamos alguien que tenga cierta experiencia y resida actualmente en los alrededores de Soria o Burgos (a unos 50 minutos de la planta como máximo) ya que la presencialidad debe ser de al menos el 50%.
- La compensación fija total ofertada se encuentra entre los 20.000€ y los 25.000€ en función de la experiencia previa del candidato, capacidades demostrables, nivel académico, banda salarial actual... En función del punto de partida, se definirá un plan de carrera para ir mejorando condiciones en la medida que adopte responsabilidades
- No nos preocupa la edad de la persona, ni su situación actual en cuanto al empleo (empleada, desempleada, en sabático...)",,Hybrid,Para empresas (B2B),Full-time
https://www.linkedin.com/jobs/view/3581738034/?eBP=CwEAAAGH00khEaEM5Q_fyCGp_0dS22yBpxpo96nKfXpuAFvNb3Se_cERRdwwQgSDcDpJlWttOTdIlHAu0nATZ64LpovdEvCLDKcJv7iu6LwnaG112HjtHn5_TidcoRfDlSHHPNnbvMj0qy_mKjAA7Dduv0AlHXNjQEhiKr86HSn7RDfpBkV3SJ_2u4Ro7pSnNrOczk-riD_ZtQe7UYNDSZ9p91OAG-QQ45z6vXGIOfuuNJgluUxs_0LqDY7kgQlIVVfaxJRT9YesYUE5EhWu97n52EV6wySqFqHc4zPwjyyvuLUCpqsrOfaGU-T_3XKTTncOqXJ9AfYDIq_ZiNl-5CcdeTXpFvkC3k-xsySzVDBm06_Vodj_9LlzpaALsVS1_66jDlI-&recommendedFlavor=SKILL_ASSESSMENTS&refId=IJQz4RLxqnkj4CzU73fscA%3D%3D&trackingId=TdhBb0qgVP0wm8co9rwObQ%3D%3D&trk=flagship3_search_srp_jobs,DATA SCIENTIST,TENDAM,"About the job
DATA SCIENTIST
We are growing our data science team to help Tendam (Cortefiel, Pedro del Hierro, Springfield, women´secret, Fifty, Hoss Intropia, Dash&Stars, Hi&BYE, OOTO y Slow Love) solve challenging problems from the retail fashion industry. We are now seeking a Data Scientist for a unique opportunity of impacting the way the world experiences fashion.

What will you do?
1. Decompose complex data problems and conduct rigorous analysis and evaluations
2. Undertake preprocessing of structured and unstructured data
3. Mine and analyze data from company databases to drive optimization and improvement of product development, marketing techniques and business strategies.
4. Develop custom data models and algorithms to apply to data sets
5. Present information using data visualization techniques

What are we looking for?
1. Scientific background with computational and analytical skills
2. Strong problem solving skills with emphasis on analyzing issues, identifying causes, and recommending solutions quickly
3. Programming skills with Python and SQL
4. Understanding and experience with big data systems, especially with Spark (PySpark)
5. Knowledge of a variety of machine learning techniques (clustering, regression, decision trees, neural networks, etc.)
6. Experience with cloud based web services (e.g., AWS)
7. Experience working with huge amounts of data
8. Experience with data visualization tools and packages.
9. Strong ability with data-reporting tools such as Excel and building reports (Quicksight, Tableau…)
10. Knowledge and experience with a version control system (e.g. Git)
11. Excellent written and verbal communication skills
12. Collaborative spirit and the ability to communicate complex ideas effectively to both colleagues and stakeholders
13. A drive to learn and master new technologies and techniques.

Extra qualifications
1. Knowledge and/or experience in the fashion retail industry

Why coming to Tendam?
1. One of the largest customer data repositories in industry: more than 20M Club members
2. Working with multiple different data sources: purchases, marketing campaigns, products, web navigation, apps, etc
3. Building machine learning models for real world problems: have a real impact in the business!
4. Working with cutting edge technologies
5. Exposure to agile methodologies
6. Working in a challenging and dynamic industry
7. A great team!

UBICACIÓN: oficinas centrales de Madrid (zona norte accesibles en metro, cercanías y autobuses urbanos).
CONTRATO: Indefinido.
Horario: jornada flexible de lunes a jueves de 7:30-9:30h y salida entre 17-19h, viernes jornada intensiva durante todo el año, de 7:30-9:30h y salida entre 13-15h.
Disponemos de comedor de empresa, descuento para empleados y buen ambiente laboral.",,Hybrid,"Python, Resolución de problemas, SQL, Capacidad de análisis, Microsoft Excel, Metodologías ágiles, and Tableau",Full-time · Associate
https://www.linkedin.com/jobs/view/3585999180/?eBP=JOB_SEARCH_ORGANIC&recommendedFlavor=SKILL_ASSESSMENTS&refId=IJQz4RLxqnkj4CzU73fscA%3D%3D&trackingId=cP3GjGWZmdqFKg5c6fBfsg%3D%3D&trk=flagship3_search_srp_jobs,Data Analyst,"KRUK España, S.L.U.","About the job
Kruk España S.L.U, we are a multinational company operating within the financial sector, with headquarters in Poland. In Spain we are specialized in debt recovery, helping our clients offering customized solutions for the resolution of their debt situation.
Now you could be part of KRUK working in our Operational Analysis Section like Data Analyst.
You will analyze and interpret business data using analytics tools to provide insights and insights to help operational area managers make data-based decisions, in order to help achieve the goals.


Main responsibilities:
•Responsible for extracting, grouping, sorting and classifying data in bulk.
•Prepare and interpret raw data using SQL.
•Prepare reports that helps to make strategics decisions.
•Participates in the preparation and analysis of case studies in order to quantify the financial impact of new initiatives for customers.
•Collaborate with international teams to implement assigned projects
•Compiles statistical analyses based on ""open source"" statistical tools (such as R / Python etc.)""

Position Requirements:

•Tools: experience with SQL, Excel expert, Tableau, statsistical tools -R or Python- good database management.
1-2 years of experiencie in a similar position.
•Knowledge of English - high level to collaborate with international teams.
•Ability to work independently and as a team.
•Analytical thinking

What can we offer you?
Flexible working hours
Teleworking
Social benefits, private health insurance, commuting benefit.
Flexible retribution",,Hybrid,"Capacidad de análisis, SQL, Python, Inglés, Microsoft Excel, Tableau, and Bases de datos",Full-time · Associate
https://www.linkedin.com/jobs/view/3494788071/?eBP=CwEAAAGH00khEcKDNXpagQA1QRE-LS1WzTZqPF-Qf8o9uStzkuKIcdMRwlubyzyo5GgL4xDtOlDlagmtJdgxxbThhdLJMwt-lKgbBJ1QHHj482PiZg78auHagKQ4hw8Dg1fd6tSyUUvehOc5LzRCGDQB7IosgBWNaV9ZgY_4YDX1bpl8YyLv96LVFQUZ_10-vhtTpXxql-W6xnHwEyUZ2asLgrZlX9GfZ4CeSXNOuYxlD5y4qXvCPZugKDfWHDkernlLikwW8XZ-jhtKhnolIFW65vTfwIUW8ubcdlUrL58cTpq1K6iDiRTpSXTvT3b8MuHroSNPzd0vMv-omfUVAtLpUdIds2ru9gxjQoXv2AU-kKkR2nW34mNwYbycILO_zrspVGNwB5A&recommendedFlavor=ACTIVELY_HIRING_COMPANY&refId=IJQz4RLxqnkj4CzU73fscA%3D%3D&trackingId=EQBgfOgbAAZ4BFto%2FHoS%2Bw%3D%3D&trk=flagship3_search_srp_jobs,CONSULTOR BI – DATA ENGINEER,VISEO IBERIA,"About the job
Sobre VISEO:

En VISEO nos diferenciamos por la participación en proyectos innovadores de soluciones Cloud, usando tecnologías como Microsoft, SAP, entre otras. En nuestra unidad de Data Analytics abarcamos una gran diversidad de proyectos y tecnologías, además de trabajar en entornos BIG DATA, o evolucionar hacia áreas de Data Scientist.

Tu Rol:

Formarás parte de un gran equipo de BI con múltiples tecnologías (MSFT, AWS, TABLEAU, SQL, ETC).
Proyectos BI de reporting en todas las áreas (operaciones, marketing, ventas,…), proyectos bigdata, analítica predictiva, ETL’s, mantenimientos, etc.
Tecnologías que utilizamos en el dpto: TABLEAU, SAP ANALYTICS CLOUD, POWER BI, QLIK, BW, SQLSERVER, BIGDATA, S4HANA, AZURE, AWS, ETC.
Aplicación de metodologías agiles.

Tu perfil:

Buscamos perfiles que quieran iniciar su carrera profesional en BI o quieran seguir desarrollándose en esta área, focalizándose en el área de desarrollo - reporting.
Valorable Conocimientos de POWER BI y/o SAC/ TABLEAU o similar
Valorable conocimiento en otras tecnologías Microsoft

Tendrás las siguientes responsabilidades en seguridad dentro de la compañía:

Acceso a la información confidencial relativa al cliente del que es responsable.
Solicitud de medidas / usuarios.
Observancia del cumplimiento de las políticas de seguridad y las políticas internas.",,Hybrid,"Inteligencia empresarial, Analítica de datos, Bases de datos, Analítica, and Microsoft Power BI",Full-time · Associate
https://www.linkedin.com/jobs/view/3591271321/?eBP=CwEAAAGH00khEf1dou8sbVySxNM-2sgKRVo_beW7-TQTYB_PhLnWxppZkDA-HWp83r9TpDYINnpWORYmtHkoB9vl3l7I3jBsp8nlhVwOO5TvN-hHoaaYAPCcdXR-3urTHZUfRIg88aOWJYxSc8640Nbk827LmDZSbHRhTgQ2c6mJxiYxmsCysCTvZa0XDXvg4rQHHmFQm4oHE7O0jBO0RAxt0WKuisa2WIV_P7vSmAMnCgashIozfz6-zt76al3QgrTyW6J9F6dr0q4PzQvulqBliW1hzFtrIsqtNk9Ifys8ycl2zsvNYS0YY8dA8uP84_IaOqdep-P69oSPktbP8raYYK4t_dSJQFgL15zowcpgDVxuIH81S7ZDX_2jH1U2hAECJ9RdyD4&recommendedFlavor=ACTIVELY_HIRING_COMPANY&refId=IJQz4RLxqnkj4CzU73fscA%3D%3D&trackingId=TzZYOVw9RKgYxYpwKlgpVA%3D%3D&trk=flagship3_search_srp_jobs,Data Specialist / Business Analyst - Spain 1,Mindray,"About the job
Data Specialist / BI Analyst

Location: Madrid, Spain

(This role is office based in the Mindray Madrid office Monday to Friday / full time)

Highly Competitive Salary + Excellent Benefits + Career Enhancement

Reporting to National Operations Manager, Spain

Are you a data guru, fluent in Spanish and English (and preferably Mandarin, but not essential!), well versed in BI tools, data analysis, business performance and reporting looking to have immediate impact on a business in exponential growth – if so, we have a newly created opportunity you will love! To achieve our ambitious growth targets, we have fostered a culture of data driven innovation and product development.

Working with our highly successful Spanish team, based in Madrid, you will have outstanding commercial analytical skills, a comprehensive working experience of tools such as Tableau, or similar BI tools and will join our fun, highly professional, experienced team, to truly shape how we use our data to the fullest. This is an opportunity to really drive the success in Spain, so your impact will be significant.

Your Responsibilities

Provide business data analytics and sales analytics reports that allow stakeholders and executives team to make informed decisions
Facilitate the regional management leaders to conduct business reviews and proactive op portunity management that can improve the visibility of sales pipeline
Monitor and report operational KPI’s in HQ for senior management
You lead the review, analysis, and interpretation of sales trends across their applicable modalities for ensuring the delivery of sales and commercial KPIs
Provide support to internal stakeholders on BI functionality and data content within dashboard
Daily maintaining of opportunity management tool (C4C)
Manage user demands and system optimization requirements
Identify innovative workflow efficiencies and propose improvements to enhance data quality and timeliness
Build data management platform for regional business

What are we looking for in you?

Degree level educated in a subject with strong analytics focus
Proven comprehensive experience of BI tools / data analysis tools – Tableau, BI, Visual Basic or similar
Background in a data analysis, commercial data, BI based role
Fluent in Spanish and ENGLISH – both written and spoken
Ideally you will be fluent in Mandarin, this is not a mandatory requirement, but helpful!
Advanced knowledge of MS Office – particularly Excel
Ability work in Spain without the requirement of company sponsorship

What’s in it for you?

This is an excellent position for candidates that are really looking for a role with difference and one in which they can really make an impact. As a double-digit growth business with ambitious targets in our meteoric success, this is an opportunity to join a business built for future success where you can have a true impact on our business, and your own career development!",,Hybrid,"Analítica de datos, Análisis de datos, Tableau, Analítica, and Inteligencia empresarial",Full-time · Entry level
https://www.linkedin.com/jobs/view/3592984764/?eBP=JOB_SEARCH_ORGANIC&recommendedFlavor=JOB_SEEKER_QUALIFIED&refId=IJQz4RLxqnkj4CzU73fscA%3D%3D&trackingId=jPTJdUlHUbjiN7biKeOGJQ%3D%3D&trk=flagship3_search_srp_jobs,Data Analyst,FCM Lab Barcelona,"About the job
🛫 WHO ARE WE ? 🛫

FCM Travel is one of the largest and fastest-growing global business travel management companies with a worldwide reach in almost 100 countries. FCM Lab in Barcelona represents a tribe of more than 110 teammates, united by a single mission: developing and ensuring the best services and technology products to support business travelers in their trips around the globe.

See our video (https://www.youtube.com/watch?v=xXbK-tag0jk&t=133s) to find out who the Product and Dev in the Barcelona team is. Read more about us at www.fcmtravel.com.

🎯 YOUR MISSIONS

As a member of the Data team at the FCM Lab, you will work with other data analysts to deliver qualitative analysis to our internal and external clients.

Your main tasks will be to produce data reports, data visualisation models and develop new analysis on business travel thematics, using various data visualisation tools (Power BI, Azure & Qlik Sense).

You will work with data from various sources (API, webservices, MySQL & PostGreSQL databases….), create reports, deploy & manage databases.

You will work with various departments from the company to answer their data needs, both as a data provider and a data consultant.

As a tech savvy, you will juggle with Python & SQL and data visualisation tools. You will discover and develop new innovative tools.
Database architecture & ETL data pipelines (Azure, PowerBI, Python, SQL)
Development & management of databases (PostgresSQL, MySQL)
Fetching data from API (JSON, XML, custom Webservices)
Ideation & development of KPIs and data dashboards (Power BI, Qlik Sense)
Creation & development of KPIs
Creation & automation of Data reports (internal & external clients)
Ticket & project management with various (nice) internal stakeholders

👀 Our Ideal Candidate ?
Fluent in English (Spanish or French is a plus)
Excellent organisational and problem solving/decision-making skills with keen attention to detail
Critical thinking and problem solving capabilities
Good communication and presentation skills
Experience and demonstrated skills in SQL databases (PostgreSQL) ; strong Python skills required
Experience with Data visualisation tools - PowerBI is a big plus !
You are familiar with the Agile methodologies (Scrum)
Basic knowledge of Git is preferred
Good sense of humour compulsory !

🎁 WHY FCM SPAIN ?

As well as being a fun company to work at, we offer:
Possibility to benefit to a health insurance
25 days off/year* + reduced time during summer + bank holidays
Discounts to access your favorite gym (Andjoy app!)
Free language lessons (English, French, Spanish or Catalan)
The opportunity to work with an international and talented team
Several activities organized by the ambassadors!

Salary according to the profile (from 32K€ up to 43K€)

We truly think personality is important so bring it on!",,On-site,"Bases de datos, SQL, Visualización de datos, Comunicación, Atención al detalle, Python, and Resolución de problemas",Full-time · Entry level
https://www.linkedin.com/jobs/view/3585761563/?eBP=CwEAAAGH00khEY-GPGRmAfx32A3U6PJLWniDiZFTYnxjdDIDW5nJpphRY1VlKTvqX1FcAskIFUmr4mvdGKrvDXo2xJKK3xRmzcM4xV6pTm14gWdr8PxfdORPJf-aV9IJh5tWD2BhKL4H2OiCQcDcBwrohK2rEZN9nCzKIVwFwzG1HhDkR84B_Pc2EFawCkaT7np0r8ouOKc3WZ2iD50Olp5FyrfkgaD7OTivz7637LXwTU1fqd9vDa35nJ5KA3px_0_x_Csg0vBedsqw39w8u05log4dPyAiYn7KryTJR0syJpenYurTYKYESRQrJZlySm6RjdQBj5fnT5hBzUCAZfabEstlbaR0WX8HaYlQ6TXSdr0jr7P0tTZ5CRdz9ZmTpZxcvtakuaA&recommendedFlavor=ACTIVELY_HIRING_COMPANY&refId=IJQz4RLxqnkj4CzU73fscA%3D%3D&trackingId=xnVmEy5rxAzmqnxvOGGXFQ%3D%3D&trk=flagship3_search_srp_jobs,Business Data Analyst,Vilar Riba,"About the job
Somos una organización de asesoramiento global en las áreas de fiscal, legal, laboral, consultoría, auditoria y M&A. Contamos con un equipo de más de 175 profesionales especializados y con una trayectoria de más de 30 años de experiencia.

¿Qué estamos buscando?

Para cubrir nuestra necesidad de crecimiento, deseamos incorporar un Consultor en el área de Business Intelligence con conocimientos en entorno Microsoft Power BI .

Principales Funciones:

Participar en proyectos de definición e implantación de Cuadros de Mando para las distintas áreas de la empresa mediante la utilización de las herramientas Business Intelligence de Microsoft Power BI.
Obtención de datos, análisis y procesamiento de estos.
Analizar y definir estrategia e identificar nuevas oportunidades de negocio.
Comunicación constante con cliente para la toma de requerimientos, validación y soporte en la utilización.

Ofrecemos:

Proyección profesional basada en la continua adquisición de conocimientos y experiencia participando en proyectos en organizaciones de primer nivel.
Entorno y Ambiente de trabajo excelente.
Programas intensivos de capacitación continuada en competencias profesionales propias de la consultoría.


Se precisa:

Formación de Ingeniería, ADE o similar.
3 años de experiencia en Proyectos de Business Intelligence.
Experiencia en MS Power BI, lenguaje DAX, configuración de Data Gateway i funcionalidades de PowerQuery.
Perfil analítico, dinámico y riguroso, acostumbrado a manejar y analizar indicadores de gestión de negocio.
Valorable buen nivel de inglés.",,Hybrid,"Microsoft Power BI, Inteligencia empresarial, Bases de datos, Analítica de datos, and Comunicación",Full-time · Associate
https://www.linkedin.com/jobs/view/3580777422/?eBP=CwEAAAGH00khEYh9Fn-UdPaXjixNfmGCe-H-B4QaZB7llr7v1KvlGjCOe-MzkIKSaet0_joY6QIv8YowdKO9hwIYT_sua-tRvCX09gDJOdeOQI9PNhdJRhaOU5FpG99R0kYzt4ynHIHIk3eEv657ttBB0FVGUzzCOMboEdl1m7fgQuCEk2fFdtzSlhpky7SKgGVaz2_nQpNFHFeu8Xht2TCu3lgXx_cl8pqfmBWiqhaiCOK1BQuILsgfdpv_jReB2iU6knHKDWmEfJs-VsTtST8jsP284SkMaeY1fNpHlyulROGCUl5QXWKdr0QG0fXNpioa4yKxVB00_3d1ANs5whwxI7X1661zmNSJaA&recommendedFlavor=ACTIVELY_HIRING_COMPANY&refId=IJQz4RLxqnkj4CzU73fscA%3D%3D&trackingId=ZWGmD0gsEd%2B7WP%2FRjYX9UA%3D%3D&trk=flagship3_search_srp_jobs,Danish Language Data Analyst,TELUS International,"About the job
TELUS International is looking for Language Data Analysts in Barcelona, Spain to work onsite for a machine learning project! At the moment, we are looking for candidates with fluency in Danish . For this position, we also offer relocation assistance .

Language Data Analysts will analyze data in a given language and identify potential issues. They will also collaborate with international testing teams and engineers to help reproduce issues and test features. Data obtained will be used to train and improve speech recognition and AI systems.

RESPONSIBILITIES:

Includes, but is not limited to the following. Other duties may be assigned.

Linguistic data labelling.
Analyzing language data in the given language and identifying potential issues and patterns.
Collaborating with an international testing team and engineers to help reproduce issues and test features.
Communicating with various departments.

SKILLS AND QUALIFICATIONS:

Fluency in Danish .
Preferred educational background: linguistics, literature or translation.
Available to work onsite in Barcelona, Spain.
Excellent reading, writing and comprehension skills in English; ability to understand and closely follow elaborate guidelines in English.
In-depth knowledge of native culture and history, staying up to date with day-to-day news and happenings in the target country and regular use of the language required.
Strong attention to detail and ability to meet project targets.
Self-motivated and able to work as part of the team or independently.
Good computer and software skills across different operating systems.
Strong typing skills.
Good organizational skills
Adaptable to changing environments.

WHAT WE OFFER:

Attractive salary
Relocation assistance
Permanent, full-time contract with TELUS International
Referral program with attractive bonuses
Private medical insurance for employees and relatives
Great office at a top location
Positive international working environment (relaxing zones, terrace, kitchen)
Discounts in gym memberships
Career development opportunities
No overtime or weekend work
Continuous support and learning
Access to counseling sessions

If this opportunity sounds appealing to you, apply now! Kindly attach your CV in English.

Please note that only shortlisted candidates will be contacted.

ABOUT US:

AI Data Solutions

Creating and enhancing the world's data to enable better AI via human intelligence.

We strive to enhance the world's data to enable better AI through human intelligence. Our team of data, technology, and project management professionals work with companies to test and improve machine learning models. We handle various data types, including text, images, audio, video, and geo. Our solutions improve AI systems in multiple applications, such as advanced smart products, improved search results, expanded speech recognition, more human-like bot interactions, and more.

TELUS International values diversity and grants equal opportunity regardless of age, civil status, disability, gender, nationality, race, religion and political beliefs, sex or sexual orientation.

Additional Job Description

TELUS International is looking for Danish Language Data Analysts in Barcelona, Spain.

Language Reference

Danish

EEO Statement

At TELUS International, we enable customer experience innovation through spirited teamwork, agile thinking, and a caring culture that puts customers first. TELUS International is the global arm of TELUS Corporation, one of the largest telecommunications service providers in Canada. We deliver contact center and business process outsourcing (BPO) solutions to some of the world's largest corporations in the consumer electronics, finance, telecommunications and utilities sectors. With global call center delivery capabilities, our multi-shore, multi-language programs offer safe, secure infrastructure, value-based pricing, skills-based resources and exceptional customer service - all backed by TELUS, our multi-billion dollar telecommunications parent.

Equal Opportunity Employer

At TELUS International, we are proud to be an equal opportunity employer and are committed to creating a diverse and inclusive workplace. All aspects of employment, including the decision to hire and promote, are based on applicants’ qualifications, merits, competence and performance without regard to any characteristic related to diversity.",,On-site,"Atención al detalle, Aptitudes de organización, Análisis de datos, Visualización de datos, Inglés, Resolución de problemas, and Capacidad de análisis",Contract · Entry level
https://www.linkedin.com/jobs/view/3589464472/?eBP=JOB_SEARCH_ORGANIC&recommendedFlavor=COMPANY_RECRUIT&refId=IJQz4RLxqnkj4CzU73fscA%3D%3D&trackingId=ppJ9mV0LbVG12pNLZGZZBw%3D%3D&trk=flagship3_search_srp_jobs,Multilingual Graduate program – Data analysis,Morningstar,"About the job
Role

Our EMEA Data Team is looking for someone who recently finished their studies to do our graduate program in data analysis to process our data across global markets. We are a team of data analysts who have effective relationships with other teams and are committed to deliver the best quality data. You will work closely with the global team, taking responsibility for data coverage, quality, and timeliness to the highest standards. The position will be based in our Data and Development Center EMEA in Madrid.

Responsibilities

Work with our Data Research Analysts on the collection and maintenance of Morningstar data, ensuring high levels of data accuracy, completeness and coverage.

Assist the Data Research Analysts to meet the predetermined production deadlines.

Work as part of our project teams who evaluate procedures, create and enhance analytical tools.

Help analyzing investment data points and calculations, answering questions from other members of the data team.

Organize meetings and support the day to day activities of the Analyst team.

Utilize project management methodologies such as LEAN Six Sigma to track, evaluate and determine resolution approach for complex data issues.

Continuous communication with fund companies and 3rd party Data providers to collect data for our databases.

Requirements

Recently graduated from the bachelor’s degree (maximum 3 years since graduation).

1 year contract length.

Proficient oral and written communication skills. Fluent in English and 2 other European languages (German, French, Dutch, Danish, Swedish, Norwegian, Finnish, Italian, Spanish, Portuguese)

Solid understanding of the financial industry and passionate about investment data.

Solid analytical skills with the ability to collect, organize, analyze and disseminate large amounts of data with attention to detail and accuracy.

Previous experience in project management and knowledge of Microsoft Office are a plus.",,,"Atención al detalle, Comunicación, Bases de datos, Analítica de datos, Capacidad de análisis, and Visualización de datos",Full-time · Entry level
https://www.linkedin.com/jobs/view/3544150272/?eBP=CwEAAAGH00khEZ3BQbCrflWrX-mqj2TgcKQw6YMbtApNrvYGozjO6shaqG1nhKvvZVWgyK5vUvTN867UrYMH4WYGR0uKvaWMBz9QWVlJBqZKvEEHGXJpKX7jbv_7WmeoV7aifIzHQVZ7G7GcyoNWDFFpEwkwiND-R7Y93uRz855lBh8DltDvIKV9rVulIxa7RdI6GIXTZXQVHPCJyX2smwb5DFKwZVKc2BWkSpY_8stNeedj2IKsz6-Hlkh9VsoSdlokenDfqvaFA-wx9_kt6jNDKxl02aJMH5EitWNjlGbO3A3AAt4PlwteISNLCSO5lJ2Rg2FO4FIX9Spp6lYDfxHg1G-cI_KCM2z8OsJ0mDz01UoeE3LiqyBc5OeWm_87iKh2IFpRnI4&recommendedFlavor=JOB_SEEKER_QUALIFIED&refId=IJQz4RLxqnkj4CzU73fscA%3D%3D&trackingId=rN1%2BwSxj0wtE0GumEqFxsQ%3D%3D&trk=flagship3_search_srp_jobs,Data Visualization,NTT DATA Europe & Latam,"About the job
En NTT DATA seguimos en proceso de crecimiento y precisamos incorporar un perfil Data Engineer con foco en Data Visualization. Se requiere:

Conocimientos en herramientas de visualización de datos (MicroStrategy, PowerBI, Tableau, Looker) y SQL.
Experiencia demostrable en el diseño y construcción de dashboards.
Conocimiento de datos y herramientas BI.

Se ofrece:
Contrato indefinido.
Retribución salarial acorde con la experiencia aportada.
Plan de Carrera: desarrollo profesional y proyección internacional a tu medida.
Plan de Formación personalizado a nivel profesional y técnico.
Beneficios sociales: Tickets Restaurante, Seguro Médico, Seguro de Vida y de Accidentes.

NTT DATA somos todas las personas que la formamos. Un equipo de más de 139.000 profesionales, tan diverso cómo diversos son los 50 países en los que estamos presentes y los diferentes sectores en los que desarrollamos nuestra actividad; telecomunicaciones, sector financiero (banca y seguros), industria, utilities, sector público y sanidad.

¿Nuestra misión? Ofrecer soluciones tecnológicas, de negocio, estrategia, desarrollo y mantenimiento de aplicaciones, siendo un referente en consultoría. Todo gracias a la colaboración entre equipos, la calidad humana de nuestra gente y a que no nos conformamos con lo establecido, buscamos siempre la innovación que nos acerca al futuro.

Nuestra esencia nos ha llevado a la vanguardia de la tecnología, a romper paradigmas y a brindar las soluciones que realmente se corresponden a las necesidades de cada cliente. Nuestro talento nos ha hecho poder decir con orgullo que somos una de las 6 empresas TOP de tecnologías en el mundo.

#Greattech needs #GreatPeople like you.",,Hybrid,"SQL, Visualización de datos, and Tableau",Full-time · Associate
